original_title,combined_features,title
Rubber (2010),action adventure comedy crime drama filmnoir horror mystery thriller western year2010,rubber
"Wonderful World of the Brothers Grimm, The (1962)",adventure animation children comedy drama fantasy musical romance year1962,thewonderfulworldofthebrothersgrimm
Enchanted (2007),adventure animation children comedy fantasy musical romance year2007,enchanted
Motorama (1991),adventure comedy crime drama fantasy mystery scifi thriller year1991,motorama
Mulan (1998),adventure animation children comedy drama musical romance year1998,mulan
Who Framed Roger Rabbit? (1988),adventure animation children comedy crime fantasy mystery year1988,whoframedrogerrabbit
Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),action adventure animation comedy fantasy mystery scifi year2007,aquateenhungerforcecolonmoviefilmfortheaters
Revolutionary Girl Utena: Adolescence of Utena (a.k.a. Revolutionary Girl Utena the Movie) (Shoujo kakumei Utena: Adolescence mokushiroku) (1999),action adventure animation comedy drama fantasy romance year1999,revolutionarygirlutenaadolescenceofutenaakarevolutionarygirlutenathemovieshoujokakumeiutenaadolescencemokushiroku
Kaho Naa... Pyaar Hai (2000),action adventure comedy drama mystery romance thriller year2000,kahonaapyaarhai
Tangled (2010),animation children comedy fantasy musical romance imax year2010,tangled
Robots (2005),adventure animation children comedy fantasy scifi imax year2005,robots
Princes and Princesses (2000),animation children comedy drama fantasy romance scifi year2000,princesandprincesses
Mars Needs Moms (2011),action adventure animation children comedy scifi imax year2011,marsneedsmoms
Aelita: The Queen of Mars (Aelita) (1924),action adventure drama fantasy romance scifi thriller year1924,aelitathequeenofmarsaelita
Interstate 60 (2002),adventure comedy drama fantasy mystery scifi thriller year2002,interstate6
Calcutta (1947),action crime drama filmnoir mystery romance thriller year1947,calcutta
All Dogs Go to Heaven 2 (1996),adventure animation children fantasy musical romance year1996,alldogsgotoheaven2
Once Upon a Time (2008),action adventure comedy crime drama romance thriller year2008,onceuponatime
Osmosis Jones (2001),action animation comedy crime drama romance thriller year2001,osmosisjones
The Man Who Came Back (2008),action adventure documentary drama thriller western year2008,themanwhocameback
